Me: "I want gpt-4 api access. openai says its limited to those who get their pr on evaluating gpt-3.5-turbo and gpt-4 merged. here's a list of already merged prs:

merged.xlsx:
PR#    Title
27    "Last-Word-Nth Evaluation Method for Assessing GPTs' Indexing Ability"
45    "Using Stockfish to Evaluate GPT's Chess Playing Ability: A FEN-based Approach"
46    "Testing Color Conversion and Lightness Extraction in GPT Models with Convert-Hex-HSL-Lightness Evaluation Method"
49    Connect 4 Winner Identification Evaluation for Language Models.
53    "Formal Logic Evaluation for GPT-3.5-Turbo: Testing Mathematical and Abstract Reasoning Abilities"
56    "Evaluation of GPT-3.5-Turbo's Sarcasm Detection Accuracy Using Kaggle Dataset and Few-Prompt Examples"
58    "Testing GPT's Decryption and String Manipulation Abilities with Caesar Cipher Evaluation"
67    "New Evaluation Method Tests GPTs' Ability to Rewrite Dates in Human-Readable Sentences"
71    "GPT-4 outperforms GPT-3.5-Turbo in new pattern identification evaluation testing symbolic manipulation abilities"
83    "Testing GPT-3.5-Turbo's Ability to Answer Multiple-Choice Computer Science Questions on Time Complexity, Binary Tree, and Algorithmic Calculations"
86    "New Evaluation Method Tests GPTs' Ability to Detect Infinite Loops in Code"
92    "Proposed Determinant Evaluation for GPT-3.5-Turbo: Assessing Accuracy in Matrix Calculations"
95    "Assessing GPT-4's Understanding of Legal Ethics: A True/False Evaluation Based on ABA Model Rules"
112    "New Evaluation Method "Born First" Tests GPTs' Ability to Determine Birth Order of Public Figures with Only 63% Accuracy"
127    "Russian NLP Evaluation: Identifying Stress Placement Errors in Unified State Exam"
137    "New Evaluation Method Tests GPTs' Ability to Identify Countries and Languages Based on Latitude and Longitude Coordinates"
157    "Rucola: A Multilingual Evaluation Method for Detecting Language Model Hallucinations"
158    "Cube-Pack Evaluation: Testing Physical Reasoning of GPTs with Easy and Accurate Problems"
159    "New Evaluation Method for GPTs Tests Understanding of Regular Expression Patterns with 0.79 Accuracy"
170    "New Evaluation Method Tests GPT-3.5-Turbo's Ability to Extract Information from PDFs on Electronic Components"
176    "Hebrew-Rhyme Evaluation: Testing GPTs' Cross-Lingual Reasoning Ability"
192    "Anagram-solving Evaluation Method for GPTs with 16% Accuracy"
223    "Number-Pattern Evaluation: Assessing GPTs' Ability to Learn and Fill in Number Sequences"
